ID,Zadanie,Produkt,Wymaganie źródłowe (Cele zadań 11 i 14),Pokrycie w Spec v2.0,Status,Luka / rozbieżność,Priorytet,Działanie w Spec v3.0,Właściciel domknięcia,"Pokrycie w istniejącej aplikacji (audyt kodu, 26.07.2026)"
11.1.a,Zadanie 11,11.1 Baza monitorowania,"Integracja danych + 8 poziomów agregacji (projekt, beneficjent, działanie, priorytet, program, fundusz, województwo, rok)",fact_projects + 3 widoki wieloregionalne; agregaty niejawne,CZĘŚCIOWE,"Brak jawnych agregatów: beneficjent, działanie, priorytet",P1,Widoki agregujące per poziom z testami spójności sum,Architekt danych,ZALĄŻEK — arkusz Projects (21 kolumn) + agregacje per program/województwo; UWAGA: rok przypisywany z HASHA ID_PROJ (2021+hash%7) — wymiar czasu jest fikcyjny
11.1.b,Zadanie 11,11.1 Baza monitorowania,Rejestr źródeł danych z 7 metadanymi + historia zmian wskaźników,Brak,BRAK,Bez rejestru nie działa lineage ani ocena aktualności danych,P0,Tabele meta: rejestr źródeł + historia wskaźników,Architekt danych,BRAK — brak rejestru źródeł i historii wskaźników; Logs_History to dziennik operacji
11.1.c,Zadanie 11,11.1 Baza monitorowania,Separacja klas danych (obserwowane / obliczone / imputowane / eksperckie) + unikatowe ID w 5 domenach,Brak,BRAK,Imputacje i klasyfikacje eksperckie niewykrywalne — audyt ślepy na pochodzenie wartości,P0,Klasa danych na poziomie wartości + rejestr identyfikatorów,Architekt danych,"WBREW — braki ocen domyślnie = 1, pusty opis → kategoria „General Eco”, więc projekt BEZ DANYCH jest klasyfikowany jako ekoinnowacja; brak klas danych obserwowane/imputowane"
11.1.d,Zadanie 11,11.1 Baza monitorowania,"Eksporty: Parquet, DuckDB, CSV, JSON-Stat, SQL (neutralność wymiany danych)",Brak warstwy eksportu; guardrail „wyłącznie ekosystem Google”,SPRZECZNE,Spec zawęża architekturę wbrew wymaganiu przenaszalności; komplikuje PZP,P0,Warstwa eksportu 5 formatów; stack Google jako wariant referencyjny (decyzja D.5),Architekt + Prawnik,"ZALĄŻEK — eksport SPSS/R/JASP na Dysk (kody -99, słowniki numeryczne 1–16/1–8/1–5, BOM); brak Parquet/DuckDB/JSON-Stat"
11.1.e,Zadanie 11,11.1 Baza monitorowania,"Walidacja wejścia: 7 kontroli (duplikaty, ID, daty, nazwy regionów, zmiany NUTS, wartości nielogiczne, sprzeczne kategorie)",Brak,BRAK,Jakość bazy 31 301 projektów nieweryfikowana na wejściu,P0,Pakiet testów jakości danych przy każdym ładowaniu,Data engineer,"ZALĄŻEK — bramka Zero-Error: spójność CZY_EKOINNOWACJA vs 4 oceny, konwersja -99→null; brak kontroli duplikatów, dat i NUTS"
11.2.a,Zadanie 11,11.2 Katalog KPI,"10 wymiarów KPI (finansowanie, dostępność, jakość, wdrożenie, efektywność, środowisko, transformacyjność, równość terytorialna, równość podmiotowa, pozycja międzynarodowa)","~3 wymiary szczątkowo (finansowanie, wdrożenie/jakość, indeks)",BRAK,"7 wymiarów nieobecnych — system nie zmierzy dostępności, środowiska ani równości",P0,Katalog 10 wymiarów zgodny z minimalnym zestawem,Metodolog + Zespół merytoryczny,ZALĄŻEK — 9 wskaźników zadań 4/8 policzalnych; 7 z 10 wymiarów katalogu bez odpowiednika
11.2.b,Zadanie 11,11.2 Katalog KPI,"16 pól metadanych per KPI (m.in. wzór, normalizacja, progi ostrzegawczy/krytyczny, reguła reakcji DSS)",Brak,BRAK,"KPI bez kontraktu → dashboard, alarmy i DSS działają bez formalnej instrukcji",P0,Szablon karty KPI (16 pól); katalog jako wersjonowany artefakt,Metodolog,BRAK — zero metadanych KPI (definicje tylko w tekstach pomocy UI)
11.2.c,Zadanie 11,11.2 Katalog KPI,Minimalny zestaw ~48 KPI w 7 grupach tematycznych,"Kilka wskaźników (per capita, Top 1%/5%, TRL, CRI, luka)",CZĘŚCIOWE,"Pokrycie listy < 20%; brak m.in. udziału nowych beneficjentów, kosztu komercjalizacji, konwergencji",P0,Implementacja pełnej listy z mapowaniem na źródła,Metodolog,"ZALĄŻEK — pokrycie listy minimalnej ~15–20% (wskaźniki autorskie tak, klasyczne KPI naborów/procedowania nie)"
11.2.d,Zadanie 11,11.2 Katalog KPI,"Walidacja KPI: 9 testów (odporność, korelacje, redundancja, wrażliwość na okres/bazę, stabilność po wyłączeniu dominanty)",Brak,BRAK,"Ryzyko KPI skorelowanych, redundantnych i kruchych",P1,Raport walidacji katalogu przed wersją 1.0,Metodolog,"BRAK — silnik ma korelacje i PCA, ale nieużyte do walidacji katalogu"
11.3.a,Zadanie 11,11.3 Dashboard,"10 paneli (m.in. Beneficjenci, Komercjalizacja, Środowisko i transformacja, Benchmark UE)","3 widoki (krajowy, regionalny, alarmy)",CZĘŚCIOWE,7 paneli nieobecnych — perspektywy beneficjentów i środowiska poza zasięgiem,P1,Mapa paneli 1:1 z wymaganiem 11.3,UX/BI,"ZALĄŻEK — dashboard ApexCharts, zakładki 4/8/11/14, tabela inspekcji z filtrem, generator slajdów, eksport wykresów PNG"
11.3.b,Zadanie 11,11.3 Dashboard,Panele: Jakość danych oraz Efekt bazy (wynik przed i po wyłączeniu obserwacji dominującej),Brak,BRAK,"Użytkownik nie widzi kruchości wyników — dashboard sugeruje pewność, której nie ma",P0,Dwa panele jako warunek odbioru dashboardu,UX/BI + Metodolog,ZALĄŻEK — wskaźnik kompletności wag przy programach; paneli Jakości danych i Efektu bazy brak
11.3.c,Zadanie 11,11.3 Dashboard,"Profile użytkowników, reguły uprawnień, 6 filtrów (rok, fundusz, program, beneficjent, typ projektu, region)","Filtry częściowe (rok, fundusz, województwo); brak ról",CZĘŚCIOWE,Brak modelu ról; brak filtrów beneficjent i typ projektu,P1,Macierz ról + komplet filtrów,Architekt,BRAK — dostęp anonimowy bez ról; filtry częściowe (program/województwo w tabelach)
11.4.a,Zadanie 11,11.4 Benchmark krajowy,"5 klas benchmarkowych (liderzy systemowi / ponadprzeciętni / referencyjni / wymagający poprawy / krytyczni) z median, kwartyli, percentyli i stabilności",Brak klas — jedynie macierz 2×2 (należąca do 11.6),BRAK,Benchmark krajowy de facto nie istnieje w v2.0,P1,Silnik klasyfikacji 5 klas + reguła anty-niska-baza dla klasy lidera,Metodolog,"WBREW — 5 klas regionów istnieje, ale ze stałych progów na EIRSI, nie z rozkładów i stabilności; nazwy klas inne niż w celach"
11.4.b,Zadanie 11,11.4 Benchmark krajowy,"Zasada odporności: mediana, IQR, winsoryzacja, transformacja logarytmiczna, robust scaling przy rozkładach skośnych",Wzmianka o winsoryzacji i z-score w opisie BigQuery,CZĘŚCIOWE,Metody nieprzypisane do konkretnych KPI; brak procedury wyboru,P1,Polityka odporności zapisana w karcie każdego KPI,Metodolog,BRAK — brak polityki odporności per wskaźnik
11.5.a,Zadanie 11,11.5 Benchmark PL–UE,"Źródła: EIS (10 wsk.), Eco-Innovation Index (5), Eurostat (13), OECD (7) + 8 grup porównawczych + zasady względności i zgodności czasowej",Zero treści — produkt jedynie zadeklarowany w Module 4,BRAK,Produkt nieimplementowany mimo formalnego „pokrycia”,P1,Moduł benchmarku międzynarodowego: ETL źródeł + karta porównywalności,Zespół merytoryczny + Data engineer,"ATRAPA — benchmark „EU27=76.5, V4=64.2, OECD=71.8” zaszyty na stałe w kodzie; żadnego ETL źródeł europejskich"
11.5.b,Zadanie 11,11.5 Benchmark PL–UE,"6 rezultatów: karta „Polska na tle UE”, macierz luka–potencjał, profil konwergencji, mapa zgodności nakłady–wyniki, dobre praktyki, wiarygodność porównań",Brak,BRAK,Brak warstwy wniosków międzynarodowych dla decydenta,P1,Szablony 6 artefaktów wynikowych,Zespół merytoryczny,BRAK — brak artefaktów wynikowych benchmarku
11.6.a,Zadanie 11,11.6 Macierz efektywności,Macierz 2×2 (alokacja × efektywność) + 6 nakładek: stabilna / spadająca / rosnąca / niepewna / zależna od 1 obserwacji / wrażliwa na bazę,Sama macierz 2×2,CZĘŚCIOWE,Bez nakładek macierz myli wyniki stabilne z jednorazowymi,P0,Trzeci wymiar macierzy: stabilność i zależność od dominant,Metodolog,BRAK — brak macierzy alokacja×efektywność
11.6.b,Zadanie 11,11.6 Macierz efektywności,Klasyfikacja do 5 działań (skalowanie / kontynuacja / korekta / pogłębiona analiza / audyt) + 5 warunków zakazu skalowania,Częściowo — low_base_flag realizuje 2 z 5 warunków,CZĘŚCIOWE,Słownik działań nieodwzorowany; warunki trwałości i wzrostu liczby beneficjentów pominięte,P0,Słownik 5 działań + komplet warunków w silniku reguł,Metodolog + Zespół merytoryczny,BRAK — brak słownika działań
11.7.0,Zadanie 11,11.7 Progi i alarmy,Trzystopniowa skala alertów Zielony/Żółty/Czerwony z ogólną semantyką,"Skala 3-stopniowa obecna, semantyka zbieżna",POKRYTE,—,P1,Utrzymać,Metodolog,BRAK — brak skali Zielony/Żółty/Czerwony
11.7.a,Zadanie 11,11.7 Progi i alarmy,"Progi WYPROWADZANE z rozkładów: percentyle, IQR, odchylenia od benchmarków, spadki r/r, trwałość, współwystępowanie sygnałów","Progi zahardkodowane (count<3, share>0,5) bez uzasadnienia",SPRZECZNE,Bezpośrednie naruszenie wymagania; progi bez właściciela i procedury zmiany,P0,Procedura derywacji progów + zatwierdzanie + wersjonowanie (decyzja D.3),Metodolog + Zamawiający,WBREW — wzorzec progów „z ręki” już w kodzie (1.2/1.0/0.8/0.6; EISPI=ecoRatio*1.5+20) — v2.0 powiela praktykę aplikacji
11.7.b,Zadanie 11,11.7 Progi i alarmy,Semantyka ochronna: żółty bez automatycznej rekomendacji ograniczenia finansowania; czerwony = obowiązkowy przegląd ekspercki,Czerwony = przegląd (zgodne); reguła ochronna dla żółtego nieujęta,CZĘŚCIOWE,Ochrona przed pochopnym cięciem finansowania niewyrażona w mechanice,P1,Reguła w silniku + guardrail warstwy AI,Metodolog,BRAK — brak semantyki ochronnej
11.7.c,Zadanie 11,11.7 Progi i alarmy,"10 atrybutów alarmu (kolor, wiarygodność, trwałość, liczba KPI potwierdzających, kompletność, imputacja, działanie, efekt bazy, udział dominanty, wynik po wyłączeniu) + tabela 11-kolumnowa",3 kolory bez atrybutów,CZĘŚCIOWE,Alarm bez wiarygodności i trwałości = fałszywe poczucie precyzji,P0,Schemat rekordu alarmu 1:1 z wymaganiem,Architekt danych,BRAK — brak rekordu alarmu
11.8.a,Zadanie 11,11.8 Krajowy DSS,"Bazy wiedzy DSS: cele polityki, ograniczenia budżetowe, katalog instrumentów, ograniczenia prawne, zatwierdzone drzewa decyzyjne, katalog rekomendacji",Brak wszystkich sześciu,BRAK,"DSS bez katalogu interwencji i drzew = adnotator alarmów, nie system decyzyjny",P0,"Repozytoria: instrumenty + drzewa decyzyjne (wersjonowane, zatwierdzane ekspercko)",Zespół merytoryczny + Zamawiający,"ATRAPA — runAutoRecommender to drzewko if-else z 5 zaszytymi rekomendacjami i fikcyjnymi „Zgodność: 95%”; dane administracyjne programów (dni, dokumenty, protesty) to stałe w baseProgramSpecs"
11.8.b,Zadanie 11,11.8 Krajowy DSS,Deterministyczny fallback bezpiecznika w warstwie reguł (DSS zwraca wariant „pilotaż/obserwacja”); LLM tylko opisuje,Zakaz umieszczony w prompcie Gemini — egzekucja probabilistyczna,SPRZECZNE,Odwrócona architektura: model probabilistyczny egzekwuje regułę deterministyczną,P0,Bramka walidacyjna poza LLM: rekord niezgodny odrzucany systemowo,Architekt,"BRAK bramki — Gemini 2.5 Flash (AI Studio, klucz w ScriptProperties) klasyfikuje pojedyncze opisy; przy >5 wierszach WYŁĄCZNIE heurystyka słów kluczowych (przy 31 301 projektów semantyka nie działa)"
11.8.c,Zadanie 11,11.8 Krajowy DSS,"Uprawnienia LLM: 4 dozwolone funkcje / 5 zakazów (nie zmienia progów, wag, reguł; nie kwalifikuje do likwidacji; nie ogranicza finansowania)",Tylko zakaz sugerowania skalowania,CZĘŚCIOWE,Pozostałe zakazy nieoperacjonalizowane — brak testów negatywnych,P1,Kontrakt warstwy AI + zestaw testów negatywnych,Architekt,"ZALĄŻEK — Daisy ma prompt systemowy z ograniczeniami roli (zakaz rezerwacji/płatności); zakazów dot. progów, wag i reguł brak"
11.8.d,Zadanie 11,11.8 Krajowy DSS,"Output DSS: 11 elementów, w tym klasa efektywności, poziom niepewności, ryzyka, maks. 3 warianty oraz FLAGA „czy wymaga oceny prawnej”",JSON ~7 pól; „legal_constraints” jako werdykt generowany przez LLM („brak przeszkód prawnych”),SPRZECZNE,Wymaganie: flaga kierująca do prawnika; spec: model orzeka o prawie — odwrócenie intencji i ryzyko odpowiedzialności,P0,Schemat JSON v2: pole „wymaga oceny prawnej” (enum); werdykty human-only,Architekt + Prawnik,BRAK — brak kontraktu JSON wyjścia; odpowiedzi Daisy to wolny tekst
11.9,Zadanie 11,11.9 Katalog rekomendacji,"13 kolumn (m.in. wiarygodność, efekt bazy, adresat, priorytet, horyzont) + operacyjna wersjonowana baza spięta z dashboardem/alarmami/DSS","JSON pokrywa ~7 pól; brak adresata, priorytetu, horyzontu, wiarygodności",CZĘŚCIOWE,Rekomendacja bez adresata i horyzontu nie jest operacyjna,P1,Model danych katalogu 1:1 z formatem 11.9,Architekt danych,BRAK — brak katalogu rekomendacji
14.1.a,Zadanie 14,14.1 Baza regionalna,"Dane zewnętrzne: GUS BDL (13 zmiennych), Eurostat NUTS-2 (8), RIS (5)",Wzmianka nazw źródeł bez zakresu zmiennych i architektury ETL,BRAK,"Integracje zadeklarowane, niezaprojektowane — filary 1–3 indeksu bez danych",P1,Katalog zmiennych + ETL + mapowanie NUTS z obsługą zmian granic,Data engineer,"ZALĄŻEK — arkusz DaneMakroekonomiczne: realne GUS 2023 (ludność, PKB, 16 województw + 2 podregiony mazowieckie) zaszyte statycznie w kodzie"
14.1.b,Zadanie 14,14.1 Baza regionalna,"Dane środowiskowe: GIOŚ, KOBiZE, URE, BDO (emisje, OZE, energia, odpady, recykling, powietrze, energochłonność, woda)",Brak,BRAK,Filar środowiskowo-transformacyjny indeksu bez zasilania,P1,ETL 4 źródeł + słownik zmiennych środowiskowych,Data engineer,"ATRAPA — emisje CO2, nakłady B+R i patenty w eksporcie Z11 generowane wzorami liniowymi/losowo z hasha — serie fikcyjne opisane jak dane GUS"
14.1.c,Zadanie 14,14.1 Baza regionalna,Zgodność czasowa: 5 atrybutów per zmienna + 4-stopniowa preferencja dopasowania okresów,Brak,BRAK,Porównania międzyźródłowe metodycznie nieuprawnione,P0,Metadane temporalne + reguły dopasowania wpisane w warstwę danych,Metodolog,BRAK — zero metadanych temporalnych
14.1.d,Zadanie 14,14.1 Baza regionalna,Trzy warianty projektów wieloregionalnych + jawne klucze podziału + wariant centralny bez sztucznego podziału,3 widoki obecne; klucz „wagi populacyjne/przedsiębiorstw”; wariant centralny bez podziału — zgodnie,POKRYTE,— (struktura zgodna; twarde zakazy i imputacja w 14.1.e),P0,Utrzymać; dodać decyzję o wariancie kanonicznym (D.1),Architekt danych,BRAK — WOJEWODZTWO to pojedyncze pole; brak wariantów wieloregionalnych (słownik zna 18 kodów NUTS-2 z podregionami Mazowsza)
14.1.e,Zadanie 14,14.1 Baza regionalna,Twarde reguły: zakaz równomiernego rozdziału centralnych; imputacja NIE tworzy lokalizacji; 4 metadane każdej wartości imputowanej,Nieujęte,BRAK,Ryzyko fikcyjnej geografii projektów — najgroźniejszy błąd bazy regionalnej,P0,Reguły twarde w warstwie danych + walidator,Architekt danych,BRAK — brak reguł imputacji (poza -99→null)
14.1.f,Zadanie 14,14.1 Baza regionalna,"Rejestr obserwacji dominujących: 6 obliczeń per województwo (top1/top3/top5, wynik przed/po wyłączeniu, liczba projektów)",Jedynie max_project_share,CZĘŚCIOWE,5 z 6 obliczeń brak — bezpiecznik bazuje na jednej mierze,P0,Widok dominant per region zasilający flagę i dashboard,Metodolog,BRAK — brak rejestru dominant
14.1.g,Zadanie 14,14.1 Baza regionalna,Baza powiat/gmina × rok („w miarę możliwości”),Brak,BRAK,Poziom lokalny — istotny dla EKO_Lokacji — nietknięty,P2,Analiza wykonalności; decyzja zakresu (D.6),Zamawiający,BRAK — poziom powiat/gmina nieobecny
14.2.a,Zadanie 14,14.2 Indeks Gotowości,"6 filarów z przypisanymi zmiennymi (gospodarczy, naukowy, absorpcyjny, wdrożeniowy, środowiskowy, instytucjonalny)",Nazwy filarów obecne; skład zmiennych nieprzypisany,CZĘŚCIOWE,Filary bez zawartości — indeks niepoliczalny,P0,Tabela filar → zmienne → źródło → transformacja,Metodolog,"WBREW — EIRRI liczone jako 6 „filarów” będących funkcjami liniowymi JEDNEJ zmiennej (LQ): potInnov=lq·70, potFin=40+lq·30 itd. — indeks pozornie wielowymiarowy, korelacja rang z EIRSI = 1.0"
14.2.b,Zadanie 14,14.2 Indeks Gotowości,"Test 3 normalizacji (min-max, z-score, robust) + transformacje finansowe (log, winsoryzacja, względne)",Jedna metoda narzucona („odporny z-score”) bez testu,CZĘŚCIOWE,Wybór metody bez porównania — wynik indeksu = artefakt niejawnej decyzji,P0,Raport porównawczy normalizacji przed wyborem,Metodolog,BRAK — jedna ścieżka normalizacji (×100 lub /8)
14.2.c,Zadanie 14,14.2 Indeks Gotowości,"Kontrola współliniowości: korelacje, VIF, redundancja, indeks pełny vs ograniczony",Brak,BRAK,Ryzyko podwójnego ważenia tych samych zjawisk,P0,Analiza współliniowości w dokumentacji indeksu,Metodolog,"ZALĄŻEK — korelacje Pearsona/Spearmana i PCA (Jacobi) dostępne w silniku, nieużyte do kontroli indeksu"
14.2.d,Zadanie 14,14.2 Indeks Gotowości,"3 warianty wag (równe / eksperckie / empiryczne) + 10-punktowa analiza wrażliwości (wagi, klasy, imputacja, projekty centralne, normalizacja, dominanty, baza, średnia wieloletnia)",Brak,BRAK,"Ranking województw = artefakt arbitralnych wyborów, których nikt nie ujawnił",P0,Program wrażliwości + publiczny raport metodologiczny,Metodolog,ZALĄŻEK — suwaki wag EIPI/TTEI/TRLI/EISEI/EIESI z walidacją sumy 100% = działający prymityw wariantowania wag z 14.2; brak programu wrażliwości
14.2.e,Zadanie 14,14.2 Indeks Gotowości,"Semantyka flagi bazy: nie obniża wyniku, blokuje status trwałego lidera; zwrotka 11 elementów; EIRRI wyłącznie komponentem filaru wdrożeniowego",Fragmentarycznie (flaga istnieje; semantyka i zwrotka niepełne),CZĘŚCIOWE,Ryzyko użycia flagi jako kary zamiast ostrzeżenia; EIRRI może zdominować indeks,P0,Kontrakt wyniku indeksu + reguła roli EIRRI,Metodolog,BRAK — brak semantyki flagi bazy i kontraktu zwrotki; ris3Alignment=82 na stałe
14.3.a,Zadanie 14,14.3 Profile województw,"22 elementy profilu + zasada prezentacji: wynik przed/po wyłączeniu dominanty, charakter wzrostu (systemowy vs jednostkowy)","Szablon ~6 elementów (dane, pozycja, mocne/słabe, typ EKO_Lokacji)",CZĘŚCIOWE,Elementy kruchości wyniku poza kartą — profile mogą wprowadzać w błąd,P1,Szablon karty 1:1 z listą 22 elementów,Zespół merytoryczny,ZALĄŻEK — karty/tabele regionalne w UI + generator raportu naukowego (Markdown/PDF)
14.3.b,Zadanie 14,14.3 Profile województw,16 kart standaryzowanych i porównywalnych między sobą,Generacja NotebookLM/Gemini zapowiedziana,CZĘŚCIOWE,Standaryzacja niezagwarantowana — generacja bez walidatora kompletności,P1,Walidator kompletności karty przed publikacją,Zespół merytoryczny,ZALĄŻEK — generator slajdów i eksporty; walidatora kompletności 22 elementów brak
14.4.a,Zadanie 14,14.4 Typologia regionów,10 typów regionów wyznaczanych z 6 filarów (nie z surowych zmiennych) + opis potrzeb i instrumentów per typ,2 profile stabilności (stabilny lider / niestabilny low-base),BRAK,Typologia zredukowana 10→2 — dobór interwencji traci rozdzielczość,P1,Silnik typologii + karty typów,Metodolog + Zespół merytoryczny,"ZALĄŻEK — kMeans zaimplementowany w silniku statystycznym, nieużyty do typologii 10 typów"
14.4.b,Zadanie 14,14.4 Typologia regionów,"Walidacja typologii: 7 testów (stabilność, zmiana metody, zgodność z RIS i ekspertami, imputacja, dominanty, trwałość)",Brak,BRAK,Typologia bez dowodu stabilności = etykiety polityczne,P1,Raport walidacji typologii,Metodolog,BRAK — brak walidacji typologii
14.5.a,Zadanie 14,14.5 Benchmark europejski regionów,4 typy dopasowań: podobni strukturalnie / podobny poziom / „kiedyś podobni – dziś lepsi” / region aspiracyjny; 10 kryteriów podobieństwa,Zero treści (deklaracja w Module 4),BRAK,Produkt nieobecny — województwa bez europejskiego punktu odniesienia,P1,Algorytm doboru odpowiedników + karta benchmarku,Metodolog,BRAK — brak doboru odpowiedników europejskich
14.5.b,Zadanie 14,14.5 Benchmark europejski regionów,"8 zasad porównania (m.in. zakaz stolica–peryferie, kontrola bazy, poziom + skala bezwzględna) + 8 rezultatów per województwo",Brak,BRAK,Ryzyko porównań kompromitujących metodycznie,P1,Reguły egzekwowane w silniku doboru,Zespół merytoryczny,BRAK
14.6.a,Zadanie 14,14.6 Mapy specjalizacji i luk,"16 obliczeń specjalizacji/luk + 10 map (potencjał, absorpcja, wdrożeniowość, transformacyjność, specjalizacje, ryzyko, białe plamy, jakość danych, efekt bazy, koncentracja)",„Mapy specjalizacji i białych plam” — 2 z 10,CZĘŚCIOWE,8 map i większość obliczeń nieobecne,P1,Katalog map z definicjami wskaźników,Metodolog + UX/BI,ZALĄŻEK — interaktywna mapa SVG Polski z warstwami: uczelnie/parki technologiczne/CTT/projekty (toggleGisLayers)
14.6.b,Zadanie 14,14.6 Mapy specjalizacji i luk,Warstwa interpretacyjna: biała plama = 5 możliwych znaczeń; wysoka dynamika = 5 możliwych znaczeń; system MUSI rozróżniać przypadki,Brak,BRAK,Mapa bez atrybutu przyczyny generuje błędne wnioski polityczne,P0,Atrybut przyczyny (5 wartości) przy każdym przypadku,Metodolog,BRAK — brak atrybutów przyczyny
